"Year","Period.Desc.","Trade.Flow","Reporter","Commodity.Code","Netweight..kg.","Trade.Value..US.."
2010,"March 2010","Exports","Brazil",301,25,3121
2010,"May 2010","Exports","Brazil",301,20,1325
2010,"June 2010","Exports","Brazil",301,10,1704
2010,"August 2010","Exports","Brazil",301,45,5688
2010,"September 2010","Exports","Brazil",301,74,5655
2010,"November 2010","Exports","Brazil",301,17,1512
2010,"December 2010","Exports","Brazil",301,22,3090
2010,"January 2010","Imports","EU-28",301,100,4688
2010,"January 2010","Exports","EU-28",301,46,3289
2010,"February 2010","Imports","EU-28",301,160,7333
2010,"February 2010","Exports","EU-28",301,600,13958
2010,"March 2010","Imports","EU-28",301,130,3775
2010,"March 2010","Exports","EU-28",301,3706,59449
2010,"April 2010","Exports","EU-28",301,10777,147219
2010,"May 2010","Imports","EU-28",301,50,2389
2010,"May 2010","Exports","EU-28",301,46225,488486
2010,"June 2010","Exports","EU-28",301,23987,918575
2010,"July 2010","Imports","EU-28",301,70,2312
2010,"July 2010","Exports","EU-28",301,4685,157919
2010,"August 2010","Exports","EU-28",301,6728,322971
2010,"September 2010","Exports","EU-28",301,8302,248121
2010,"October 2010","Exports","EU-28",301,17605,656943
2010,"November 2010","Exports","EU-28",301,3461,105765
2010,"January 2010","Exports","China",301,550,22280
2010,"February 2010","Exports","China",301,3527,37541
2010,"March 2010","Exports","China",301,4545,73549
2010,"April 2010","Exports","China",301,3093,46167
2010,"May 2010","Exports","China",301,4217,56038
2010,"June 2010","Exports","China",301,2816,44705
2010,"July 2010","Exports","China",301,5400,27485
2010,"August 2010","Exports","China",301,6907,46344
2010,"September 2010","Exports","China",301,2409,92280
2010,"October 2010","Exports","China",301,11079,68022
2010,"November 2010","Exports","China",301,2395,71966
2010,"December 2010","Exports","China",301,968,45079
2010,"February 2010","Exports","Colombia",301,25,4354
2010,"March 2010","Exports","Estonia",301,3000,40725
2010,"April 2010","Exports","Estonia",301,10800,144133
2010,"January 2010","Imports","Finland",301,100,4695
2010,"February 2010","Imports","Finland",301,200,7335
2010,"March 2010","Imports","Finland",301,100,3779
2010,"May 2010","Imports","Finland",301,100,2386
2010,"May 2010","Exports","Finland",301,45600,475677
2010,"June 2010","Exports","Finland",301,23900,911944
2010,"July 2010","Imports","Finland",301,100,2313
2010,"July 2010","Exports","Finland",301,4000,138963
2010,"August 2010","Exports","Finland",301,6700,318939
2010,"September 2010","Exports","Finland",301,7700,229066
2010,"October 2010","Exports","Finland",301,17600,654854
2010,"November 2010","Exports","Finland",301,3400,95575
2010,"January 2010","Exports","Germany",301,26,3134
2010,"March 2010","Exports","Germany",301,106,12146
2010,"April 2010","Exports","Germany",301,27,3086
2010,"June 2010","Exports","Germany",301,42,6637
2010,"July 2010","Exports","Germany",301,59,5923
2010,"September 2010","Exports","Germany",301,17,2556
2010,"October 2010","Exports","Germany",301,12,2094
2010,"November 2010","Exports","Germany",301,41,3745
2010,"February 2010","Exports","Greece",301,600,13958
2010,"March 2010","Exports","Greece",301,600,6524
2010,"May 2010","Exports","Greece",301,600,12810
2010,"July 2010","Exports","Greece",301,600,13034
2010,"September 2010","Exports","Greece",301,600,13148
2010,"March 2010","Imports","China, Hong Kong SAR",301,2460,30108
2010,"June 2010","Exports","Japan",301,205,2750
2010,"August 2010","Exports","Japan",301,384,5780
2010,"June 2010","Imports","Kazakhstan",301,1600,18568
2010,"October 2010","Imports","Kazakhstan",301,2484,23364
2010,"November 2010","Imports","Kazakhstan",301,171,1031
2010,"December 2010","Imports","Kazakhstan",301,45,352
2010,"May 2010","Exports","Thailand",301,5954,5070
2010,"June 2010","Exports","Thailand",301,6389,50562
2010,"June 2010","Imports","Thailand",301,6389,50562
2010,"September 2010","Exports","Peru",301,768,6742
2010,"July 2010","Exports","Malaysia",301,9114,20696
2010,"January 2010","Imports","Thailand",301,6269,24969
2010,"July 2010","Exports","Thailand",301,4433,10281
2010,"November 2010","Exports","Thailand",301,9634,76470
2010,"December 2010","Exports","Malaysia",301,6886,14883
2010,"August 2010","Exports","Malaysia",301,3255,10389
2010,"September 2010","Exports","Malaysia",301,969,2882
2010,"November 2010","Exports","Malaysia",301,4348,9975
2010,"October 2010","Exports","Peru",301,1507,12266
2010,"August 2010","Exports","Singapore",301,1774,99982
2010,"August 2010","Imports","Thailand",301,7220,25026
2010,"August 2010","Exports","Thailand",301,7220,25026
2010,"January 2010","Exports","Singapore",301,2314,82074
2010,"June 2010","Exports","Norway",301,50000,1469136
2010,"September 2010","Exports","Singapore",301,3241,158689
2010,"September 2010","Imports","Thailand",301,9758,49177
2010,"January 2010","Exports","Thailand",301,6269,24969
2010,"September 2010","Exports","Thailand",301,9758,49177
2010,"April 2010","Exports","Singapore",301,2529,133843
2010,"July 2010","Exports","Norway",301,52500,1213856
2010,"April 2010","Imports","Thailand",301,3024,20223
2010,"February 2010","Exports","Singapore",301,2452,112571
2010,"May 2010","Exports","Singapore",301,2338,132399
2010,"June 2010","Exports","Singapore",301,2063,147003
2010,"October 2010","Exports","Norway",301,95720,2612262
2010,"February 2010","Imports","Thailand",301,7821,49357
2010,"April 2010","Exports","Thailand",301,3024,20223
2010,"May 2010","Imports","Thailand",301,5954,5070
2010,"November 2010","Exports","Norway",301,61049,1626182
